Date,Close Price
10/22/2017 1:50,303.08
10/22/2017 3:50,304.56
10/22/2017 5:50,297.96
10/22/2017 7:50,296.58
10/22/2017 9:50,298.21
10/22/2017 11:50,294.98
10/22/2017 13:50,297.36
10/22/2017 15:50,297.15
10/22/2017 17:50,295.36
10/22/2017 19:50,293.31
10/22/2017 21:50,294.21
10/22/2017 23:50,295.43
10/23/2017 1:50,294.66
10/23/2017 3:50,293.61
10/23/2017 5:50,292.31
10/23/2017 7:50,288.71
10/23/2017 9:50,285.35
10/23/2017 11:50,288.75
10/23/2017 13:50,277.58
10/23/2017 15:50,282.74
10/23/2017 17:50,285.25
10/23/2017 19:50,285.24
10/23/2017 21:50,285.09
10/23/2017 23:50,287.03
10/24/2017 1:50,305.2
10/24/2017 3:50,303.01
10/24/2017 5:50,307.27
10/24/2017 7:50,306.86
10/24/2017 9:50,309.09
10/24/2017 11:50,310.82
10/24/2017 13:50,309.36
10/24/2017 15:50,308.49
10/24/2017 17:50,304.76
10/24/2017 19:50,305.97
10/24/2017 21:50,300.55
10/24/2017 23:50,297.88
10/25/2017 1:50,292.3
10/25/2017 3:50,293.21
10/25/2017 5:50,295.95
10/25/2017 7:50,301.76
10/25/2017 9:50,299.99
10/25/2017 11:50,295.89
10/25/2017 13:50,297.71
10/25/2017 15:50,295.39
10/25/2017 17:50,297.46
10/25/2017 19:50,299.05
10/25/2017 21:50,298.75
10/25/2017 23:50,298.63
10/26/2017 1:50,298.65
10/26/2017 3:50,298.35
10/26/2017 5:50,298.68
10/26/2017 7:50,297.21
10/26/2017 9:50,298.63
10/26/2017 11:50,299.88
10/26/2017 13:50,297.91
10/26/2017 15:50,298.53
10/26/2017 17:50,297.16
10/26/2017 19:50,295.53
10/26/2017 21:50,296.27
10/26/2017 23:50,296.78
10/27/2017 1:50,298.97
10/27/2017 3:55,297.54
10/27/2017 5:55,298.99
10/27/2017 7:55,299.06
10/27/2017 9:55,298.27
10/27/2017 11:55,297.86
10/27/2017 13:55,294.06
10/27/2017 15:55,295.16
10/27/2017 17:55,297.13
10/27/2017 19:55,297.14
10/27/2017 21:55,297.02
10/27/2017 23:55,297.36
10/28/2017 1:55,297.64
10/28/2017 3:55,295.57
10/28/2017 5:55,295.94
10/28/2017 7:55,296.41
10/28/2017 9:55,295.73
10/28/2017 11:55,294.66
10/28/2017 13:55,296.19
10/28/2017 15:55,297.41
10/28/2017 17:55,298.45
10/28/2017 19:55,297.82
10/28/2017 21:55,296.24
10/28/2017 23:55,296.34
10/29/2017 1:55,297.65
10/29/2017 3:55,298.2
10/29/2017 5:55,297.98
10/29/2017 7:55,299.49
10/29/2017 9:55,299.12
10/29/2017 11:55,310.23
10/29/2017 13:55,308.98
10/29/2017 15:55,310.22
10/29/2017 17:55,307.84
10/29/2017 19:55,306.97
10/29/2017 21:55,306
10/29/2017 23:55,306.04
10/30/2017 1:55,308.63
10/30/2017 3:55,307.5
10/30/2017 5:55,307.56
10/30/2017 7:55,309.99
10/30/2017 9:55,309.64
10/30/2017 11:55,308.48
10/30/2017 13:55,307.85
10/30/2017 15:55,306.44
10/30/2017 17:55,305.68
10/30/2017 19:55,305.98
10/30/2017 21:55,306.87
10/30/2017 23:55,307.3
